"filename", "language", "TypeScript", "TypeScript React", "JavaScript", "JSON", "XML", "Markdown", "CSS", "HTML", "Log", "comment", "blank", "total"
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/RoomLayout.tsx", "TypeScript React", 0, 1356, 0, 0, 0, 0, 0, 0, 0, 21, 108, 1485
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/SearchLayout.tsx", "TypeScript React", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 8, 161
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/SetEditLayout.tsx", "TypeScript React", 0, 244, 0, 0, 0, 0, 0, 0, 0, 540, 23, 807
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/library/Folder.tsx", "TypeScript React", 0, 698, 0, 0, 0, 0, 0, 0, 0, 21, 55, 774
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/loading/Loading.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/optionsListProfile/index.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/pagination/Pagination.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/schedule/Calendar.tsx", "TypeScript React", 0, 1179, 0, 0, 0, 0, 0, 0, 0, 16, 71, 1266
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/schedule/convertTime.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 77
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/schedule/fakeData.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/set/Set.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/sidebar/SideBar.tsx", "TypeScript React", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88
